Spectacular Spider-Man,15,1
Spectacular Spider-Man,16,2
Spectacular Spider-Man,17,3
Spectacular Spider-Man,18,4
Spectacular Spider-Man,19,5
Spectacular Spider-Man,20,6
Cpt America & The Falcon,5,7
Cpt America & The Falcon,6,8
Cpt America & The Falcon,7,9
Cpt America & The Falcon,8,10
Thor,80,11
Thor,81,12
Thor,82,13
Thor,83,14
Thor,84,15
Thor,85,16
Iron Man,84,17
Iron Man,85,18
Avengers,500,19
Captain America,29,20
Avengers,501,21
Avengers,502,22
Avengers,503,23
Iron Man,86,24
Iron Man,87,25
Iron Man,88,26
Iron Man,89,27
Avengers Finale (One-shot),1,28
Captain America,30,29
Captain America,31,30
Captain America,32,31
Fantastic Four,517,32
Fantastic Four,518,33
Fantastic Four,519,34
